userEmail,pistaNombre,fecha,hora,total
"edyth.botsford3@gmail.com","Pista 24","2025-06-08","13:00",13
"carlee.halvorson@hotmail.com","Pista 13","2025-01-05","20:00",35
"abigale0@gmail.com","Pista 18","2025-04-01","10:00",18
"aimee.beer@yahoo.com","Pista 22","2025-01-25","19:00",28
"rahul_thiel@gmail.com","Pista 7","2025-05-30","11:00",23
"gilda89@hotmail.com","Pista 3","2025-09-19","16:00",21
"kamille95@yahoo.com","Pista 27","2025-02-17","09:00",36
"rodolfo0@yahoo.com","Pista 5","2025-01-12","09:00",34
"cyrus.murray@gmail.com","Pista 12","2025-01-19","18:00",34
"cyrus.murray@gmail.com","Pista 5","2025-11-27","16:00",34
"jabari.runte90@gmail.com","Pista 20","2025-04-15","20:00",38
"jordane48@hotmail.com","Pista 9","2025-02-20","19:00",18
"kamille95@yahoo.com","Pista 14","2025-12-08","17:00",38
"torey.dickens@gmail.com","Pista 13","2025-03-30","16:00",35
"gilda89@hotmail.com","Pista 12","2025-03-12","12:00",34
"jordane48@hotmail.com","Pista 27","2025-04-19","18:00",36
"cyrus.murray@gmail.com","Pista 5","2025-10-23","09:00",34
"freddy_boehm23@gmail.com","Pista 27","2025-08-22","12:00",36
"jordane48@hotmail.com","Pista 19","2025-12-22","10:00",37
"rodolfo0@yahoo.com","Pista 9","2025-11-13","16:00",18
